datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RTO,-13.889
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RTO,-13.057
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RTO,-13.135
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RTO,-14.018
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RTO,-13.222
1/1/2025 10:00:00 AM,1/1/2025 5:00:00 AM,RTO,-12.959
1/1/2025 11:00:00 AM,1/1/2025 6:00:00 AM,RTO,-12.992
1/1/2025 12:00:00 PM,1/1/2025 7:00:00 AM,RTO,90.259
1/1/2025 1:00:00 PM,1/1/2025 8:00:00 AM,RTO,1642.158
1/1/2025 2:00:00 PM,1/1/2025 9:00:00 AM,RTO,3656.599
1/1/2025 3:00:00 PM,1/1/2025 10:00:00 AM,RTO,4085.047
1/1/2025 4:00:00 PM,1/1/2025 11:00:00 AM,RTO,4114.612
1/1/2025 5:00:00 PM,1/1/2025 12:00:00 PM,RTO,4169.070
1/1/2025 6:00:00 PM,1/1/2025 1:00:00 PM,RTO,4319.311
1/1/2025 7:00:00 PM,1/1/2025 2:00:00 PM,RTO,4134.589
1/1/2025 8:00:00 PM,1/1/2025 3:00:00 PM,RTO,2916.957
1/1/2025 9:00:00 PM,1/1/2025 4:00:00 PM,RTO,641.381
1/1/2025 10:00:00 PM,1/1/2025 5:00:00 PM,RTO,-8.545
1/1/2025 11:00:00 PM,1/1/2025 6:00:00 PM,RTO,-13.122
1/2/2025 12:00:00 AM,1/1/2025 7:00:00 PM,RTO,-14.184
1/2/2025 1:00:00 AM,1/1/2025 8:00:00 PM,RTO,-14.082
1/2/2025 2:00:00 AM,1/1/2025 9:00:00 PM,RTO,-13.254
1/2/2025 3:00:00 AM,1/1/2025 10:00:00 PM,RTO,-13.237
1/2/2025 4:00:00 AM,1/1/2025 11:00:00 PM,RTO,-13.153
1/2/2025 5:00:00 AM,1/2/2025 12:00:00 AM,RTO,-13.318
