datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RTO,7854.908
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RTO,8150.267
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RTO,8407.360
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RTO,8297.621
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RTO,8047.026
1/1/2025 10:00:00 AM,1/1/2025 5:00:00 AM,RTO,8159.298
1/1/2025 11:00:00 AM,1/1/2025 6:00:00 AM,RTO,8293.000
1/1/2025 12:00:00 PM,1/1/2025 7:00:00 AM,RTO,8118.067
1/1/2025 1:00:00 PM,1/1/2025 8:00:00 AM,RTO,8307.605
1/1/2025 2:00:00 PM,1/1/2025 9:00:00 AM,RTO,8764.074
1/1/2025 3:00:00 PM,1/1/2025 10:00:00 AM,RTO,9212.218
1/1/2025 4:00:00 PM,1/1/2025 11:00:00 AM,RTO,9511.577
1/1/2025 5:00:00 PM,1/1/2025 12:00:00 PM,RTO,9343.758
1/1/2025 6:00:00 PM,1/1/2025 1:00:00 PM,RTO,9577.020
1/1/2025 7:00:00 PM,1/1/2025 2:00:00 PM,RTO,9688.360
1/1/2025 8:00:00 PM,1/1/2025 3:00:00 PM,RTO,9595.195
1/1/2025 9:00:00 PM,1/1/2025 4:00:00 PM,RTO,9114.102
1/1/2025 10:00:00 PM,1/1/2025 5:00:00 PM,RTO,8190.870
1/1/2025 11:00:00 PM,1/1/2025 6:00:00 PM,RTO,7979.082
1/2/2025 12:00:00 AM,1/1/2025 7:00:00 PM,RTO,7672.174
1/2/2025 1:00:00 AM,1/1/2025 8:00:00 PM,RTO,7420.439
1/2/2025 2:00:00 AM,1/1/2025 9:00:00 PM,RTO,6941.468
1/2/2025 3:00:00 AM,1/1/2025 10:00:00 PM,RTO,6623.187
1/2/2025 4:00:00 AM,1/1/2025 11:00:00 PM,RTO,6141.219
1/2/2025 5:00:00 AM,1/2/2025 12:00:00 AM,RTO,5240.381
1/2/2025 6:00:00 AM,1/2/2025 1:00:00 AM,RTO,4762.628
1/2/2025 7:00:00 AM,1/2/2025 2:00:00 AM,RTO,4841.637
1/2/2025 8:00:00 AM,1/2/2025 3:00:00 AM,RTO,4776.673
1/2/2025 9:00:00 AM,1/2/2025 4:00:00 AM,RTO,4400.145
1/2/2025 10:00:00 AM,1/2/2025 5:00:00 AM,RTO,4355.130
1/2/2025 11:00:00 AM,1/2/2025 6:00:00 AM,RTO,4478.731
1/2/2025 12:00:00 PM,1/2/2025 7:00:00 AM,RTO,4555.509
1/2/2025 1:00:00 PM,1/2/2025 8:00:00 AM,RTO,4289.979
1/2/2025 2:00:00 PM,1/2/2025 9:00:00 AM,RTO,3800.765
1/2/2025 3:00:00 PM,1/2/2025 10:00:00 AM,RTO,3523.050
1/2/2025 4:00:00 PM,1/2/2025 11:00:00 AM,RTO,3580.182
1/2/2025 5:00:00 PM,1/2/2025 12:00:00 PM,RTO,3436.657
1/2/2025 6:00:00 PM,1/2/2025 1:00:00 PM,RTO,3310.252
1/2/2025 7:00:00 PM,1/2/2025 2:00:00 PM,RTO,3130.281
1/2/2025 8:00:00 PM,1/2/2025 3:00:00 PM,RTO,2689.268
1/2/2025 9:00:00 PM,1/2/2025 4:00:00 PM,RTO,2312.984
1/2/2025 10:00:00 PM,1/2/2025 5:00:00 PM,RTO,2043.494
1/2/2025 11:00:00 PM,1/2/2025 6:00:00 PM,RTO,2103.856
1/3/2025 12:00:00 AM,1/2/2025 7:00:00 PM,RTO,2467.480
1/3/2025 1:00:00 AM,1/2/2025 8:00:00 PM,RTO,2831.600
1/3/2025 2:00:00 AM,1/2/2025 9:00:00 PM,RTO,3420.655
1/3/2025 3:00:00 AM,1/2/2025 10:00:00 PM,RTO,4199.482
1/3/2025 4:00:00 AM,1/2/2025 11:00:00 PM,RTO,4775.377
1/3/2025 5:00:00 AM,1/3/2025 12:00:00 AM,RTO,5982.399
1/3/2025 6:00:00 AM,1/3/2025 1:00:00 AM,RTO,6628.548
1/3/2025 7:00:00 AM,1/3/2025 2:00:00 AM,RTO,7123.442
1/3/2025 8:00:00 AM,1/3/2025 3:00:00 AM,RTO,7321.566
1/3/2025 9:00:00 AM,1/3/2025 4:00:00 AM,RTO,7636.862
1/3/2025 10:00:00 AM,1/3/2025 5:00:00 AM,RTO,7744.596
1/3/2025 11:00:00 AM,1/3/2025 6:00:00 AM,RTO,7735.412
1/3/2025 12:00:00 PM,1/3/2025 7:00:00 AM,RTO,7504.806
1/3/2025 1:00:00 PM,1/3/2025 8:00:00 AM,RTO,7471.041
1/3/2025 2:00:00 PM,1/3/2025 9:00:00 AM,RTO,6983.223
1/3/2025 3:00:00 PM,1/3/2025 10:00:00 AM,RTO,7063.645
1/3/2025 4:00:00 PM,1/3/2025 11:00:00 AM,RTO,7356.751
1/3/2025 5:00:00 PM,1/3/2025 12:00:00 PM,RTO,7684.976
1/3/2025 6:00:00 PM,1/3/2025 1:00:00 PM,RTO,8267.137
1/3/2025 7:00:00 PM,1/3/2025 2:00:00 PM,RTO,8686.822
1/3/2025 8:00:00 PM,1/3/2025 3:00:00 PM,RTO,9038.046
1/3/2025 9:00:00 PM,1/3/2025 4:00:00 PM,RTO,8955.508
1/3/2025 10:00:00 PM,1/3/2025 5:00:00 PM,RTO,8669.610
1/3/2025 11:00:00 PM,1/3/2025 6:00:00 PM,RTO,8208.796
1/4/2025 12:00:00 AM,1/3/2025 7:00:00 PM,RTO,8379.364
1/4/2025 1:00:00 AM,1/3/2025 8:00:00 PM,RTO,8185.607
1/4/2025 2:00:00 AM,1/3/2025 9:00:00 PM,RTO,8262.076
1/4/2025 3:00:00 AM,1/3/2025 10:00:00 PM,RTO,8302.312
1/4/2025 4:00:00 AM,1/3/2025 11:00:00 PM,RTO,7987.130
1/4/2025 5:00:00 AM,1/4/2025 12:00:00 AM,RTO,7788.763
1/4/2025 6:00:00 AM,1/4/2025 1:00:00 AM,RTO,7555.011
1/4/2025 7:00:00 AM,1/4/2025 2:00:00 AM,RTO,7335.302
1/4/2025 8:00:00 AM,1/4/2025 3:00:00 AM,RTO,7281.255
1/4/2025 9:00:00 AM,1/4/2025 4:00:00 AM,RTO,6779.830
1/4/2025 10:00:00 AM,1/4/2025 5:00:00 AM,RTO,6718.498
1/4/2025 11:00:00 AM,1/4/2025 6:00:00 AM,RTO,6700.068
1/4/2025 12:00:00 PM,1/4/2025 7:00:00 AM,RTO,6438.646
1/4/2025 1:00:00 PM,1/4/2025 8:00:00 AM,RTO,6032.028
1/4/2025 2:00:00 PM,1/4/2025 9:00:00 AM,RTO,5563.095
1/4/2025 3:00:00 PM,1/4/2025 10:00:00 AM,RTO,4712.066
1/4/2025 4:00:00 PM,1/4/2025 11:00:00 AM,RTO,4359.831
1/4/2025 5:00:00 PM,1/4/2025 12:00:00 PM,RTO,4506.875
1/4/2025 6:00:00 PM,1/4/2025 1:00:00 PM,RTO,4507.304
1/4/2025 7:00:00 PM,1/4/2025 2:00:00 PM,RTO,4367.910
1/4/2025 8:00:00 PM,1/4/2025 3:00:00 PM,RTO,4042.633
1/4/2025 9:00:00 PM,1/4/2025 4:00:00 PM,RTO,3617.606
1/4/2025 10:00:00 PM,1/4/2025 5:00:00 PM,RTO,3408.875
1/4/2025 11:00:00 PM,1/4/2025 6:00:00 PM,RTO,3395.412
1/5/2025 12:00:00 AM,1/4/2025 7:00:00 PM,RTO,3477.207
1/5/2025 1:00:00 AM,1/4/2025 8:00:00 PM,RTO,3276.310
1/5/2025 2:00:00 AM,1/4/2025 9:00:00 PM,RTO,3479.653
1/5/2025 3:00:00 AM,1/4/2025 10:00:00 PM,RTO,3422.774
1/5/2025 4:00:00 AM,1/4/2025 11:00:00 PM,RTO,3386.819
1/5/2025 5:00:00 AM,1/5/2025 12:00:00 AM,RTO,3389.528
1/5/2025 6:00:00 AM,1/5/2025 1:00:00 AM,RTO,3288.698
1/5/2025 7:00:00 AM,1/5/2025 2:00:00 AM,RTO,3114.136
1/5/2025 8:00:00 AM,1/5/2025 3:00:00 AM,RTO,2802.527
1/5/2025 9:00:00 AM,1/5/2025 4:00:00 AM,RTO,2569.468
1/5/2025 10:00:00 AM,1/5/2025 5:00:00 AM,RTO,2421.642
1/5/2025 11:00:00 AM,1/5/2025 6:00:00 AM,RTO,1986.773
1/5/2025 12:00:00 PM,1/5/2025 7:00:00 AM,RTO,1842.729
1/5/2025 1:00:00 PM,1/5/2025 8:00:00 AM,RTO,1940.127
1/5/2025 2:00:00 PM,1/5/2025 9:00:00 AM,RTO,1923.128
1/5/2025 3:00:00 PM,1/5/2025 10:00:00 AM,RTO,1894.238
1/5/2025 4:00:00 PM,1/5/2025 11:00:00 AM,RTO,2180.563
1/5/2025 5:00:00 PM,1/5/2025 12:00:00 PM,RTO,2376.189
1/5/2025 6:00:00 PM,1/5/2025 1:00:00 PM,RTO,2383.585
1/5/2025 7:00:00 PM,1/5/2025 2:00:00 PM,RTO,2524.532
